Id,Label
0,910101010
1,017310
2,14083
3,010101010
4,467810
5,010101010
6,6921010
7,37101010
8,48267
9,966010
10,2201010
11,110101010
12,109310
13,04101010
14,619510
15,210101010
16,095710
17,780410
18,87674
19,4291010
20,1901010
21,4431010
22,34836
23,24101010
24,693210
25,60101010
26,2251010
27,733510
28,510101010
29,010101010
30,039910
31,810101010
32,9171010
33,373810
34,22101010
35,5111010
36,910101010
37,17764
38,410101010
39,72032
40,3261010
41,60689
42,48282
43,0561010
44,6161010
45,8961010
46,876010
47,740110
48,4571010
49,09101010
50,410101010
51,8841010
52,5791010
53,94640
54,010101010
55,70990
56,9051010
57,14101010
58,93802
59,610101010
60,891410
61,3031010
62,37125
63,11101010
64,810101010
65,6001010
66,353310
67,27132
68,93101010
69,85101010
70,52296
71,621210
72,100710
73,69101010
74,710101010
75,93101010
76,710101010
77,14101010
78,61232
79,4161010
80,03269
81,263810
82,59726
83,380610
84,64101010
85,68282
86,16101010
87,062810
88,210101010
89,9181010
90,7491010
91,510101010
92,810101010
93,89595
94,93459
95,910101010
96,64795
97,15101010
98,1831010
99,80101010
100,27512
101,2201010
102,33101010
103,897510
104,3841010
105,186610
106,6431010
107,0871010
108,895310
109,90796
110,266610
111,50101010
112,03081
113,010101010
114,910101010
115,410101010
116,8831010
117,61101010
118,210101010
119,111310
120,210101010
121,570910
122,01210
123,570310
124,820810
125,18101010
126,07101010
127,510101010
128,4171010
129,61101010
130,877610
131,43101010
132,20101010
133,036210
134,82217
135,010101010
136,18101010
137,806810
138,97101010
139,210101010
140,733710
141,5541010
142,6891010
143,72320
144,36719
145,26101010
146,02101010
147,43996
148,44303
149,56603
150,89101010
151,372310
152,610101010
153,9671010
154,51312
155,9961010
156,3861010
157,710101010
158,23527
159,610101010
160,193510
161,73773
162,23292
163,25226
164,7641010
165,421510
166,3021010
167,91101010
168,644710
169,573210
170,610101010
171,908010
172,494910
173,64689
174,222710
175,110101010
176,810101010
177,25470
178,37899
179,310101010
180,80723
181,010101010
182,710101010
183,7701010
184,3171010
185,42575
186,37036
187,72101010
188,60101010
189,136310
190,443510
191,9051010
192,108710
193,08876
194,60881
195,0041010
196,666710
197,2431010
198,110101010
199,78434
200,3921010
201,99103
202,68101010
203,5471010
204,05101010
205,815010
206,66101010
207,74381
208,110101010
209,76154
210,813710
211,885410
212,86443
213,13001
214,8381010
215,584810
216,517710
217,71862
218,18370
219,110810
220,09101010
221,28130
222,79101010
223,88070
224,102810
225,90714
226,9771010
227,26694
228,65101010
229,65101010
230,010101010
231,1161010
232,88131
233,9121010
234,1641010
235,919210
236,95101010
237,11208
238,269210
239,310101010
240,903210
241,810101010
242,29935
243,90360
244,73101010
245,37101010
246,49101010
247,010101010
248,73226
249,18707
250,423810
251,76101010
252,30101010
253,136710
254,140210
255,49101010
256,72101010
257,810101010
258,410101010
259,13101010
260,730410
261,610101010
262,9541010
263,17373
264,88210
265,610101010
266,023210
267,95101010
268,44970
269,4911010
270,785310
271,5021010
272,010101010
273,910101010
274,4611010
275,68477
276,33036
277,5821010
278,256810
279,310101010
280,07101010
281,921510
282,819410
283,266210
284,717010
285,154110
286,910101010
287,410101010
288,910101010
289,710101010
290,6791010
291,86101010
292,357310
293,663110
294,310101010
295,8381010
296,7261010
297,210101010
298,06938
299,3111010
300,50101010
301,208010
302,01760
303,9271010
304,29058
305,200710
306,49479
307,9831010
308,0131010
309,52101010
310,4571010
311,587310
312,510101010
313,6441010
314,810101010
315,510101010
316,33160
317,77101010
318,073910
319,4821010
320,3821010
321,310101010
322,262110
323,2271010
324,310101010
325,37101010
326,4551010
327,710101010
328,2071010
329,110101010
330,79101010
331,99041
332,610101010
333,76101010
334,622110
335,010101010
336,91654
337,7071010
338,6101010
339,55250
340,40324
341,908910
342,5981010
343,110101010
344,87056
345,337310
346,730310
347,768410
348,75101010
349,00101010
350,58148
351,87101010
352,133310
353,77101010
354,355410
355,710101010
356,5611010
357,133610
358,1341010
359,46101010
360,20455
361,4521010
362,45197
363,3111010
364,010101010
365,248010
366,04101010
367,820010
368,010101010
369,010101010
370,337910
371,47085
372,22021
373,05101010
374,2931010
375,210101010
376,8491010
377,4021010
378,2911010
379,180910
380,86333
381,089810
382,3831010
383,1011010
384,09101010
385,9151010
386,83737
387,43101010
388,1561010
389,126410
390,2631010
391,1531010
392,3941010
393,3111010
394,71418
395,06101010
396,71101010
397,499810
398,33101010
399,5511010
400,241510
401,110101010
402,910101010
403,34382
404,43660
405,110101010
406,310101010
407,472310
408,710101010
409,20101010
410,10860
411,69101010
412,210101010
413,6151010
414,29101010
415,62101010
416,010101010
417,310101010
418,510101010
419,95545
420,810101010
421,4611010
422,4771010
423,110101010
424,56905
425,48101010
426,15139
427,127110
428,718910
429,58101010
430,710101010
431,6031010
432,62995
433,64101010
434,159310
435,5571010
436,4771010
437,408110
438,44101010
439,35716
440,204910
441,8501010
442,72404
443,255310
444,595810
445,65101010
446,73210
447,15101010
448,9891010
449,91479
450,2211010
451,310101010
452,18629
453,85101010
454,87399
455,210101010
456,9791010
457,487310
458,7031010
459,33101010
460,410101010
461,210101010
462,36101010
463,20890
464,18869
465,260110
466,244410
467,515410
468,085610
469,7991010
470,45101010
471,910101010
472,3561010
473,465210
474,987710
475,90294
476,740310
477,810101010
478,910101010
479,402210
480,988010
481,6651010
482,89411
483,97777
484,32101010
485,9761010
486,710101010
487,71507
488,910101010
489,303910
490,8311010
491,910101010
492,67003
493,92101010
494,01475
495,4391010
496,61332
497,1131010
498,09307
499,343910
500,1221010
501,7241010
502,51117
503,410101010
504,8451010
505,148610
506,47148
507,1481010
508,032010
509,810101010
510,9421010
511,43101010
512,7291010
513,2211010
514,80295
515,40101010
516,210101010
517,9351010
518,1761010
519,31226
520,08101010
521,14504
522,6521010
523,97275
524,0181010
525,289210
526,610101010
527,810101010
528,828610
529,95101010
530,440110
531,51101010
532,7541010
533,979510
534,2411010
535,35101010
536,18646
537,1021010
538,186010
539,18101010
540,447310
541,3231010
542,07517
543,66101010
544,891110
545,82130
546,71101010
547,01438
548,8481010
549,1151010
550,69101010
551,91422
552,240510
553,34000
554,8841010
555,77053
556,823810
557,0931010
558,26286
559,281610
560,802610
561,010101010
562,210101010
563,69137
564,360210
565,622610
566,232310
567,96101010
568,410101010
569,825610
570,110101010
571,88968
572,902910
573,64833
574,710101010
575,38101010
576,71101010
577,0841010
578,575710
579,13101010
580,79786
581,610101010
582,828810
583,1411010
584,50364
585,864210
586,310101010
